Artist,Title,Label,chroma_stft,rms,spectral_centroid,spectral_bandwidth,spectral_rolloff,zero_crossing_rate,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20
The Weeknd,Blinding Lights,1,0.45479554,0.20974411,1951.0612884385523,2182.963857655148,4146.684312913221,0.07615205180048204,-80.33181762695312,107.49974822998047,-0.6952594518661499,29.796968460083008,1.9224295616149902,14.079327583312988,3.8426451683044434,9.818798065185547,0.8929912447929382,10.914702415466309,4.070785045623779,6.4037933349609375,0.30940788984298706,4.486139297485352,-2.3868536949157715,1.487174391746521,-0.6539045572280884,3.5070018768310547,0.0534512922167778,4.618580341339111
Olivia Rodrigo,Good 4 U,1,0.37486947,0.10382061,2094.6823548048915,2239.9465885866825,4341.057479310446,0.09047133619429173,-179.53929138183594,86.14437866210938,-6.0864129066467285,27.611526489257812,5.235172271728516,7.551217079162598,6.924752712249756,4.814761638641357,0.8662658929824829,6.569674968719482,-4.110296249389648,0.7246946692466736,-2.545797348022461,4.424343109130859,-3.6114792823791504,2.0127646923065186,-3.4878547191619873,-0.45003601908683777,-2.4020235538482666,1.5553960800170898
Olivia Rodrigo,Drivers License,1,0.3030982,0.18618268,1652.0208604156867,1990.1341626054448,3260.7226686429253,0.07017503033053675,-149.65296936035156,118.9619140625,5.7523322105407715,15.421030044555664,6.138190269470215,1.431899905204773,8.13845443725586,-2.5471291542053223,-1.4040731191635132,-0.14644889533519745,-10.152926445007324,-1.0066072940826416,-3.3229944705963135,5.362095355987549,-1.3281692266464233,3.3184151649475098,-2.832709789276123,-1.6831837892532349,-4.393415927886963,-1.632070779800415
Lil Nas X,Montero (Call Me By Your Name),1,0.38073993,0.20533733,2882.1351448687487,2891.4896970702457,6501.983078211954,0.11862302059763331,-88.38339233398438,68.86481475830078,20.960933685302734,16.563249588012695,13.245023727416992,6.415128231048584,-0.5788138508796692,-1.3813022375106812,-5.083660125732422,1.7142581939697266,-7.40711784362793,3.6673338413238525,-3.3470704555511475,0.5674445033073425,-3.3434793949127197,1.4725686311721802,-4.09933614730835,1.993229866027832,-2.3593060970306396,-0.6163389682769775
BTS,Butter,1,0.40591973,0.2702185,2427.5495359540087,2559.1411142935913,5480.976178925814,0.09468851541645482,-82.57683563232422,63.96433639526367,8.28183364868164,20.44687271118164,6.64348030090332,10.789331436157227,2.7792930603027344,8.863648414611816,3.0142123699188232,7.781192302703857,-0.19460716843605042,3.7008962631225586,-0.17484167218208313,4.305621147155762,1.6327977180480957,3.774775743484497,-0.8656283020973206,5.041788578033447,-0.055805325508117676,4.013322353363037
Olivia Rodrigo,Deja Vu,1,0.3127243,0.1230721,1905.441093359766,2114.44282116689,3821.2351766864904,0.08474961674232544,-153.15628051757812,110.08213806152344,-4.1863884925842285,10.924661636352539,-5.633900165557861,-3.600740671157837,-3.6708106994628906,-4.149563789367676,-4.351329803466797,3.307752847671509,-1.0794029235839844,2.9770500659942627,0.9883015155792236,5.5593461990356445,-3.629497528076172,1.64266037940979,-5.0655012130737305,-1.3168737888336182,-5.9580078125,0.21427777409553528
Ariana Grande,Positions,1,0.3417166,0.22625652,2955.417264750117,3041.084496094653,6776.551969320151,0.11029332126275176,-80.4863510131836,67.38128662109375,24.681467056274414,19.400123596191406,10.109119415283203,4.615872383117676,4.79122257232666,-5.416778087615967,6.827595233917236,2.9673573970794678,-10.766009330749512,1.4800434112548828,-1.7350554466247559,-3.2610867023468018,0.8237453103065491,3.0630042552948,5.558293342590332,7.97560453414917,7.645839214324951,6.943626403808594
Ed Sheeran,Bad Habits,1,0.36941493,0.26942933,2334.12633372485,2576.695593281767,5193.352948018043,0.0856491327056032,-69.31255340576172,84.88162231445312,10.475553512573242,19.415569305419922,5.715034008026123,10.251557350158691,-0.640603244304657,3.6232073307037354,-4.920742511749268,3.704749584197998,-1.961229920387268,2.539658784866333,-2.408522605895996,4.160613059997559,-3.065581798553467,0.521013081073761,-2.3525350093841553,1.456603765487671,-2.493877410888672,3.70686936378479
Luke Combs,Forever After All,1,0.3559975,0.22602639,1969.3406586015722,2248.325453394056,4099.960494898964,0.08268232322467281,-65.9581298828125,106.48335266113281,-2.555044651031494,25.582195281982422,8.423408508300781,3.04426908493042,-0.5729981660842896,3.1810495853424072,-5.3374857902526855,2.2281746864318848,-2.648268461227417,0.478047639131546,-2.7768170833587646,0.45369037985801697,-5.221994876861572,1.9953081607818604,-6.4241132736206055,-1.59512197971344,-2.407111167907715,-0.7275845408439636
Pop Smoke,What You Know Bout Love,1,0.44340485,0.22538541,2615.6802230922995,2582.004864696683,5445.551367914771,0.11071412025065508,-83.94697570800781,80.18862915039062,19.619537353515625,22.837627410888672,-4.423517227172852,-0.8857781291007996,-7.912899971008301,4.043212413787842,-11.9767427444458,3.5423951148986816,-14.006168365478516,0.1466606706380844,-1.1593286991119385,-1.5107239484786987,-0.10835479944944382,4.919466018676758,-4.585282325744629,1.6209275722503662,-4.732280254364014,0.22573953866958618
Billie Eilish,Therefore I Am,1,0.43984824,0.1542865,1680.7877741557568,2148.7190761765874,3631.876158492027,0.058818923826911125,-211.61160278320312,96.22547912597656,15.144455909729004,17.589033126831055,8.32307243347168,8.213336944580078,5.5634236335754395,1.4761780500411987,5.974395275115967,2.2281432151794434,-0.8953997492790222,-0.768909752368927,-2.3037986755371094,1.9304165840148926,-1.3106024265289307,1.2732588052749634,-0.33801156282424927,-0.15644080936908722,-1.6262308359146118,-1.4712769985198975
Cardi B,Up,1,0.53950465,0.30235803,2225.8060278470916,2374.0732521370437,4740.405456976789,0.07347197868968698,-129.04385375976562,73.79601287841797,14.393128395080566,25.543907165527344,7.581820011138916,11.996294975280762,8.24017333984375,4.47266960144043,6.440001964569092,3.2718937397003174,-0.35181933641433716,8.282414436340332,-1.441133975982666,5.936167240142822,-1.2201303243637085,2.333723783493042,-1.4242274761199951,2.044135332107544,-0.9051470160484314,4.266643047332764
Lil Baby,On Me,1,0.40478057,0.26886678,2086.5009770512006,2166.4876900835234,4322.67344980466,0.06049576544303353,-151.22120666503906,72.15843963623047,17.168670654296875,11.877766609191895,10.0513916015625,13.620750427246094,-8.158823013305664,4.388493537902832,6.557278156280518,2.4086344242095947,-2.3361520767211914,12.398924827575684,3.7325339317321777,5.491779804229736,2.0738327503204346,0.9134628772735596,1.0410984754562378,2.448566198348999,-1.7895408868789673,1.3666917085647583
Olivia Rodrigo,Traitor,1,0.29207122,0.18976109,1634.3502629598743,1984.7126427250046,3235.3911547435982,0.06968258757153688,-149.87318420410156,118.923583984375,5.43230676651001,14.445008277893066,3.745685338973999,-2.6192636489868164,8.056962013244629,-7.709810256958008,-1.685944676399231,4.928018093109131,-10.401932716369629,-1.2780556678771973,-9.268982887268066,1.2798455953598022,-7.344318389892578,-2.1776621341705322,-0.9612706303596497,3.7263379096984863,0.9977504014968872,1.624023675918579
